Var,Gamma_1,SE_1,Gamma_2,SE_2
"DIST",-13.6633120208818,1.3205352466882,-2.39993342071691,0.711540534141645
"BORD",-0.780016639953482,0.172482870091661,-0.4888528221432,0.137549857716652
"LANG",-0.0868395990657496,0.0689349664312443,0.267899503305327,0.0637200593211901
"CONT",0.707294033305567,0.0503889226837087,0.0372031929368589,0.055828109977538
"DURAB",-0.144880493488338,0.107960671608283,1.2946239925803,0.120099346173203
"POLCOMP",-0.270239018069214,0.107945769426365,0.0367401230023179,0.0929492838523555
"AUTOC",0.2866179364038,0.116676601292718,-0.169713473744008,0.100376862154816
"CURCOL",0.683123323783416,0.288691916395316,-0.775467635998445,0.209854438900435
"COLONY",0.157963969978368,0.213501122189536,1.0795403261072,0.160219915386221
"COMCOL",0.504310971194693,0.0809136970787789,0.478777537431873,0.0901831635327858
"SMCTRY",0.959778578151182,0.346402344169411,0.093353899635799,0.205794008097372
"GDPsum",684.112856080505,211.249667733271,-687.532785960041,128.369271108998
"GDPsim",34.7548986294244,10.5532255168067,-36.0213530526965,6.43849748179249
"REMOTE",-949.091023018257,291.069891153517,919.369802287753,178.462823358386
"DROWKL",37.3660434310305,9.39861889617034,-31.0199606852025,5.68166703532362
"dkl",-2.47653877331362,0.180386413399304,2.77369854761154,0.215104665152052
"xi",0.106913961442812,0.029019348217413,0.106913961442812,0.029019348217413
