Var,Gamma_1,SE_1,Gamma_2,SE_2
"DIST",-10.7302445733992,0.500769512510018,-27.5711834420001,6.61806740812106
"BORD",-0.465638008002643,0.165246285849368,-4.40509491096108,1.06969641327944
"LANG",-0.118378262867375,0.0676784781824761,2.1694771763875,1.20875462641622
"CONT",0.766039677378596,0.04991870785982,-3.48158322668334,0.764639171671978
"DURAB",-0.713775031452458,0.0905722358581942,88.8979447201631,15.2644732942834
"POLCOMP",-0.483408329186311,0.102902292777716,5.10139221245074,1.76225654128762
"AUTOC",0.480627926198894,0.110917421249964,-20.2984513627695,3.32896543868345
"CURCOL",0.505962315111612,0.273785752233089,0.0862524249782965,1.01418551991635
"COLONY",0.147526031983005,0.210404295788821,3.08326022679841,1.00635768336518
"COMCOL",0.553276137746638,0.079800718738179,-2.73015657822044,1.90609946741025
"SMCTRY",1.23008249100773,0.327624173876764,-28.6319125480006,4.93546394401725
"xi",-0.99999781801207,8.09242213255941e-06,-0.99999781801207,8.09242213255941e-06
