Var,Gamma_1,SE_1,Gamma_2,SE_2
"DIST",-10.742965423838,0.49949273814165,-4.88728683463193,0.367787199575097
"BORD",-0.472675800772212,0.164619811394884,-0.837096870733602,0.136144359777515
"LANG",-0.120121351606482,0.0675999873141002,0.33702278591749,0.0636604317065451
"CONT",0.764905654991761,0.0499228941802567,-0.0194885304575279,0.0526237201505843
"DURAB",-0.715602542988978,0.0897805411791792,1.96120024719532,0.128295306491202
"POLCOMP",-0.478134794662512,0.102893124074824,0.339745640135497,0.0933784160793475
"AUTOC",0.474722622403973,0.110936885511916,-0.432754591637621,0.100698185856506
"CURCOL",0.513374012842094,0.275239395522072,-0.565049793135315,0.229550288661818
"COLONY",0.142414157208828,0.211520462179386,1.03987973231564,0.183319874600338
"COMCOL",0.550665358406518,0.0797366145314058,0.251352458123427,0.080909261103073
"SMCTRY",1.23438623963009,0.329644635122447,-0.0757305788387881,0.181420540033767
"xi",0.062625026463785,0.0280706305478035,0.062625026463785,0.0280706305478035
