Var,Gamma_1,SE_1,Gamma_2,SE_2
"DIST",-10.737150594275,0.500895179614913,-28.1847836786549,6.10373906986511
"BORD",-0.467895938592653,0.165233449492212,-4.3873997781938,1.02343274519397
"LANG",-0.117716353464534,0.0676664789886123,1.19513754287112,1.27679496785706
"CONT",0.764870786536262,0.0499156761124867,-3.48450914367787,0.638737860486495
"DURAB",-0.714187584515594,0.0905576125960618,89.264124556593,13.962996019423
"POLCOMP",-0.485232035162545,0.102902339404606,5.34428002555586,1.74427706253623
"AUTOC",0.483118682075652,0.110913147923729,-20.4326155995941,3.28909080239731
"CURCOL",0.519538983767874,0.274286251365551,2.10970519237897,1.09651420992095
"COLONY",0.133748776431016,0.210848637702411,-0.386743081557214,1.21842958436688
"COMCOL",0.553031045705641,0.0797941686071441,-6.74170022565003,1.45605500867251
"SMCTRY",1.2306058491142,0.327570618374632,2.41136552426251,1.10743213896531
"xi",-0.999969460737635,5.72965805926742e-05,-0.999969460737635,5.72965805926742e-05
